260,20170201,34,5,54;
260,20170202,86,52,125;
260,20170203,86,63,119;
260,20170204,57,26,74;
260,20170205,44,-11,77;
260,20170206,43,-10,66;
260,20170207,24,9,39;
260,20170208,0,-11,9;
260,20170209,-16,-30,-10; 
260,20170210,-23,-45,-13; 
260,20170211,-4,-17,10; 
260,20170212,7,-6,25; 
260,20170213,22,-14,71;
260,20170214,38,-5,94;
260,20170215,74,3,135;
260,20170216,68,55,99;
260,20170217,70,52,86;
260,20170218,56,32,103;
260,20170219,62,32,92;
260,20170220,91,72,109;
260,20170221,96,86,111;
260,20170222,95,78,108;
260,20170223,80,42,105;
260,20170224,45,-6,87;
260,20170225,58,18,89;
260,20170226,87,67,106;
260,20170227,87,43,106;
260,20170228,47,32,65;
330,20170201,47,16,81;
330,20170202,98,74,129;
330,20170203,91,61,116;
330,20170204,56,40,71;
330,20170205,44,28,67;
330,20170206,49,28,64;
330,20170207,36,17,56;
330,20170208,5,-4,17;
330,20170209,-8,-13,0;
330,20170210,-19,-39,-6;
330,20170211,-2,-16,8;
330,20170212,12,-11,35;
330,20170213,27,-3,62;
330,20170214,53,3,107;
330,20170215,84,41,139;
330,20170216,65,52,91;
330,20170217,63,47,75;
330,20170218,54,31,76;
330,20170219,64,41,84;
330,20170220,80,72,105;
330,20170221,86,73,110;
330,20170222,82,74,88;
330,20170223,77,49,96;
330,20170224,49,29,78;
330,20170225,65,36,87;
330,20170226,85,67,101;
330,20170227,80,38,102;
330,20170228,45,19,65;
